Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2020_opmerkingen;2021;2021_opmerkingen;2022;2022_opmerkingen;2023;2023_opmerkingen;2024;2024_opmerkingen;2025;2025_opmerkingen;2026;2026_opmerkingen
Heist-op-den-Berg;1050;1050;1050;1050;1050;1050;1450;1450;1450;1450;913;913;913;;913;;913;;913;;913;;913;;913;
Hemiksem;1450;1450;1450;1450;1450;1550;1550;1550;1550;1550;976;976;976;;976;;976;;976;;976;;976;;976;
Herent;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;882;
Herentals;1360;1360;1400;1400;1400;1400;1400;1400;1400;1400;882;882;975;;975;;975;;975;;975;;975;;995;3 categorieën: 995 / 1000  /1010
Herenthout;1300;1300;1300;1500;1500;1500;1500;1500;1500;1500;944;944;944;;944;;944;;944;;944;;944;;944;
Herk-de-Stad;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;2 categorieën: 756 / 0;756;2 categorieën: 756 / 0;756;2 categorieën: 756 / 0;756;2 categorieën: 756 / 0
Herne (t/m 2024);1400;1400;1400;1400;1400;1400;1450;1450;1450;1450;913;913;913;;913;;913;;913;;913;;;;;
Herselt;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Herstappe;1150;1150;1150;1150;1150;1150;1150;1150;1150;1150;723;723;728;;728;;728;;728;;728;;728;;728;
Herzele;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1007,56;1007,56;1007,56;;1007,56;;1007,56;;1007,56;;1007,56;;1007,56;;1060;
Heusden-Zolder;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;882;882;935;;935;;935;;935;;935;;935;;935;5 categorieën: 935 / 1206,15 / 1252,90 / 1280,95 / 1317,68
